Time,count
2024-06-19,12507
2024-04-24,9828
2024-07-06,9811
2024-06-20,5552
2024-04-23,4857
2024-05-14,4499
2024-07-07,3944
2024-08-02,3855
2024-09-27,3599
2024-05-18,3414
2024-07-30,3291
2024-04-22,2962
2024-05-10,2910
2024-05-17,2910
2024-05-20,2860
2024-08-27,2825
2024-08-08,2623
2024-05-15,2523
2024-08-15,2185
2024-09-23,2087
2024-09-09,2059
2024-08-29,1967
2024-09-11,1939
2024-08-26,1933
2024-05-21,1905
2024-09-18,1873
2024-09-02,1820
2024-06-21,1705
2024-05-13,1695
2024-09-16,1604
2024-08-28,1555
2024-05-16,1430
2024-08-01,1429
2024-08-12,1366
2024-09-26,1350
2024-08-16,1339
2024-09-17,1252
2024-08-13,1232
2024-08-20,1088
2024-05-09,1086
2024-08-17,1050
2024-09-03,1021
2024-08-19,1003
2024-09-24,951
2024-09-12,942
2024-09-19,848
2024-08-05,787
2024-08-22,770
2024-09-20,733
2024-05-19,718
2024-08-21,681
2024-09-25,620
2024-08-14,593
2024-09-13,412
2024-08-07,405
2024-09-28,399
2024-09-04,356
2024-05-08,335
2024-08-09,316
2024-04-30,277
2024-10-07,194
2024-09-10,190
2024-09-08,101
2024-07-31,74
2024-06-04,53
2024-07-17,36
2024-05-30,34
2024-07-15,25
2024-06-03,24
2024-05-31,24
2024-07-05,17
2024-07-16,5
2024-06-02,4
2024-04-25,4
2024-06-05,3
2024-03-23,1
2024-08-31,1
2024-09-21,1
